"registrationDate","serviceProviderID","mobileNumber","serviceProviderName","pinCode","address","deliveryService","serviceProviderIconURL","businessId","coordinates"
"2023-12-18 17:02:14.147",68,"9449110786","AM Chicken Center                                 ","560068","404, 13th Cross Rd, Roopena Agrahara, Bommanahalli                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ4F+M4G                                          "
"2023-12-18 17:01:00.919",67,"9449671918","Coorg Spices                                      ","560068","404, 13th Cross Rd, Roopena Agrahara, Bommanahalli                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ4F+M4G                                          "
"2023-12-18 16:58:22.955",66,"9731230615","Shree Kanishka Sweets and Snacks                  ","560068","21, 14th Main Rd, Virat Nagar, Bommanahalli                                                                                                                                                             ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ4F+55G                                          "
"2023-12-18 16:56:03.997",65,"9663532652","Al Falah Kabab counter                            ","560068","30, 9th Main Rd, Bommanahalli                                                                                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ3F+W57                                          "
"2023-12-18 16:52:31.925",64,"9449159057","Chikkamagalur Tea And Coffee Works                ","560068","Devarachikkanahalli Main Rd, Bommanahalli                                                                                                                                                               ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ3F+3JC                                          "
"2023-12-15 16:20:10.833",63,"9663545678","tender Fresh chicken                              ","560078"," Bhavani food corner, E Main Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                        ",True,"icons/sp/local-store.png                                                   ",NULL,"VJW5+3G5                                          "
"2023-12-15 16:17:45.998",62,"9880608963","Kanti Sweets                                      ","560076","Near The Hair Cafe - Family Salon, 368, near BBMP Office, Vijaya Bank Layout, Bilekahalli                                                                                                               ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV5+XMG                                          "
"2023-12-15 16:12:59.214",61,"9740022666","New Kabab Zone                                    ","560076","#1057,Devarachikkanahalli Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV5+QQ2                                          "
"2023-12-15 16:06:09.894",60,"9738279028","Kolkatta Famous Kathi roll                        ","560078","4th Cross Rd, 1st Block, Royal Shelters, DUO Layout, Bilekahalli                                                                                                                                        ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV7+285                                          "
"2023-12-15 16:00:01.54",59,"9066556544","Cake Beats                                        ","560076","10, Devarachikkanahalli Main Rd, near golden park appts, opposite surani saw mill, Maruthi Layout, Seenappa Layout, Hongasandra                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,"VJVC+M2H                                          "
"2023-12-14 14:50:17.242",58,"8088770964","Savi Ruchi Pan shop                               ","560068","Devarachikkanahalli Main Rd, Maruthi Layout, Seenappa Layout, Bommanahalli, Bengaluru                                                                                                                   ",True,"icons/sp/local-store.png                                                   ",NULL,"VJWC+44M                                          "
"2023-12-14 14:48:38.863",57,"9380577971","Kulfi shulfi                                      ","560068"," Devarachikkanahalli Main Rd, Maruthi Layout, Seenappa Layout, Bommanahalli, Bengaluru                                                                                                                  ",True,"icons/sp/local-store.png                                                   ",NULL,"VJWC+44                                           "
"2023-12-14 14:39:57.823",49,"9731274140","True Love Cafe                                    ","560068","Devarachikkanahalli Main Road, Near Royal Legend Apartment,Bommanahalli                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ2C+4XG                                          "
"2023-12-13 15:35:48.516",47,"9538829140","Sai Jagannath Food And Chats Point                ","560068","13, Devarachikkanahalli Main Rd, SR Naidu Layout, Seenappa Layout, Hongasandra                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJVC+V46                                          "
"2023-12-13 15:28:51.232",48,"7892972134","Spice Garden                                      ","560068","Devarachikkanahalli Main Rd, Maruthi Layout, Seenappa Layout, Bommanahalli                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJWC+24H                                          "
"2023-12-13 15:22:18.074",46,"9844463838","Moghul Tasty                                      ","560068","1 Main Road, Devara Chikkanahalli Main Road, Hongasandra                                                                                                                                                ",True,"icons/sp/local-store.png                                                   ",NULL,"VJWC+QFC                                          "
"2023-12-13 15:19:00.055",45,"9980859984","Bismillah Hotel                                   ","560076","Devarachikkanahalli Main Rd, Seenappa Layout, BDA Layout BTM 4th Stage                                                                                                                                  ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+2F4                                          "
"2023-12-13 15:15:47.296",44,"7204163150","Ayengars Cake Palace                              ","560068","4th Cross, Begur Rd, Kodichikknahalli                                                                                                                                                                   ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+3JX                                          "
"2023-12-12 21:48:47.661",43,"87469940700","Iyengars Bakery                                   ","560078","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+48P                                          "
"2023-12-12 15:24:56.824",42,"7337719991","My Chicken And More                               ","560068","1, Kodichikkanahalli Main Rd, next to HP Petrol Bunk, Kodichikknahalli, Kaveri Nagar, Bommanahalli                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+3FJ                                          "
"2023-12-12 15:19:41.63",41,"8884422070","Mangala Bhavana                                   ","560068","Devarachikkanahalli Main Rd, Kaveri Nagar, Bommanahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+JQ9                                          "
"2023-12-12 15:11:32.777",40,"9738831915","Bairava Chicken Center                            ","560068","14-195, 6th Main Rd, Kaveri Nagar, Hongasandra                                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+MQ7                                          "
"2023-12-12 15:06:04.897",39,"9742411751","Hasanbha Iyengars Cake mane                       ","560068","Kaveri Nagar, Bommanahalli                                                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+QR2                                          "
"2023-12-12 15:02:04.673",38,"8197508648","Choi Choi Momos                                   ","560068","18, 12th A Main Rd, Kaveri Nagar, Bommanahalli                                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ2F+52V                                          "
"2023-12-11 12:17:24.862",37,"9538353735","Udaya Super Mart                                  ","560076","1, Manjunatha Layout, Kodichikknahalli, Seenappa Layout, Bommanahalli                                                                                                                                   ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+788                                          "
"2023-12-11 12:14:42.186",36,"9079337681","D N D Pani Puri                                   ","560076","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+785                                          "
"2023-12-11 12:10:41.384",35,"9341891174","M.N Sugarcane Juice Center                        ","560076","#31/A,Venkatappa Building, Next To Udupi Grand Veg, Kodichikkanahalli Bus Stop                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+66W                                          "
"2023-12-09 15:12:18.437",34,"9480863810","Sri Chamundeshwari Fruits And Vegetables          ","560068","29, 1st Main Rd, Kodichikknahalli, Lake City, Bommanahalli                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+C6M                                          "
"2023-12-09 15:06:18.427",33,"8971666158","Welcome Poultry                                   ","560076","Virat Nagar , Near Muhajir Masjid                                                                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"WJ2C+RV4                                          "
"2023-12-09 15:04:45.419",32,"8618408635","Fresh Greens                                      ","560076","Vijaya Bank Enclave Rd, Anugraha Layout, Sambhawa Naggapa Layout                                                                                                                                        ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX6+392                                          "
"2023-12-09 14:59:18.605",31,"9611911066","Ambara Gardenia                                   ","560076","14th Main Road, 6th Cross Rd, Gangaparameshwari Nagar, Kodichikknahalli, Vijaya Bank Layout, Bilekahalli                                                                                                ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV6+JCQ                                          "
"2023-12-09 14:49:42.741",27,"9606158800","Shree Annapoorna Traders                          ","560076"," Bannerghatta Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+X34                                          "
"2023-12-09 14:42:57.189",29,"7349460900","Namana Garden Veg Restaurant                      ","560076","910, 5th Cross Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+X34                                          "
"2023-12-09 14:28:46.475",25,"9886288890","Bread Crumbs Bakery                               ","560076","989, Ambika Corner, Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                             ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+WFX                                          "
"2023-12-09 14:14:24.946",26,"9035655201","Om Sweets Chats & Juice                           ","560076","Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJR6+XH9                                          "
"2023-12-09 09:53:37.415",23,"9035066066","SRI BHAGYA GRAND                                  ","560076","#1065/A,5th Cross,13th Main, Vijaya Bank Layout, kodichikkanahalli,Oppo. Vijaya Enclave Apts.                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,"VJV6+HC4                                          "
"2023-12-08 15:24:53.186",22,"9743081258","Balaji Rice Traders                               ","560076","#5,30/1A,2 Main, Kodichikkanahalli Main Road, Rotary Nagara,Oppo.BWSSB Water Tank                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+5W2                                          "
"2023-12-07 19:15:03.402",21,"9538630554","IYENGARS BAKERY                                   ","560068","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+59C                                          "
"2023-12-07 19:10:08.592",20,"8217807039","Udupi Grand Veg                                   ","560068","29, 1st Main Rd, Kodichikknahalli, Lake City, Bommanahalli                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+872                                          "
"2023-12-07 19:05:42.671",19,"9118412092","Shree Sai Super Hot Chips                         ","560068","Vijayasree Layout, kodichikkanahalli                                                                                                                                                                    ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+Q8J                                          "
